,bio_func_names
2616,positive regulation of phosphatidylinositol 3-kinase signaling
2617,positive regulation of phospholipase C activity
2618,positive regulation of phosphoprotein phosphatase activity
2619,positive regulation of phosphorylation
2620,positive regulation of podosome assembly
2621,positive regulation of positive chemotaxis
2622,positive regulation of potassium ion transmembrane transport
2623,positive regulation of pri-miRNA transcription by RNA polymerase II
2624,positive regulation of proteasomal protein catabolic process
2625,positive regulation of proteasomal ubiquitin-dependent protein catabolic process
2626,positive regulation of protein autophosphorylation
2627,positive regulation of protein binding
2628,positive regulation of protein catabolic process
2629,positive regulation of protein complex assembly
2630,positive regulation of protein dephosphorylation
2631,positive regulation of protein exit from endoplasmic reticulum
2632,positive regulation of protein export from nucleus
2633,positive regulation of protein homodimerization activity
2634,positive regulation of protein homooligomerization
2635,positive regulation of protein import into nucleus
2636,"positive regulation of protein import into nucleus, translocation"
2637,positive regulation of protein insertion into mitochondrial membrane involved in apoptotic signaling pathway
2638,positive regulation of protein kinase A signaling
2639,positive regulation of protein kinase B signaling
2640,positive regulation of protein kinase activity
2641,positive regulation of protein localization to cell surface
2642,positive regulation of protein localization to nucleus
2643,positive regulation of protein localization to plasma membrane
2644,positive regulation of protein metabolic process
2645,positive regulation of protein oligomerization
2646,positive regulation of protein phosphorylation
2647,positive regulation of protein processing
2648,positive regulation of protein secretion
2649,positive regulation of protein serine/threonine kinase activity
2650,positive regulation of protein sumoylation
2651,positive regulation of protein targeting to membrane
2652,positive regulation of protein targeting to mitochondrion
2653,positive regulation of protein tyrosine kinase activity
2654,positive regulation of protein ubiquitination
2655,positive regulation of proteolysis
2656,positive regulation of pseudopodium assembly
2657,positive regulation of reactive oxygen species biosynthetic process
2658,positive regulation of reactive oxygen species metabolic process
2659,positive regulation of receptor internalization
2660,positive regulation of receptor recycling
2661,positive regulation of receptor-mediated endocytosis
2662,positive regulation of regulatory T cell differentiation
2663,positive regulation of release of cytochrome c from mitochondria
2664,positive regulation of release of sequestered calcium ion into cytosol
2665,positive regulation of renal sodium excretion
2666,positive regulation of response to DNA damage stimulus
2667,positive regulation of ruffle assembly
2668,positive regulation of signal transduction
2669,positive regulation of smooth muscle cell migration
2670,positive regulation of smooth muscle cell proliferation
2671,positive regulation of smooth muscle contraction
2672,positive regulation of smoothened signaling pathway
2673,positive regulation of sodium ion transport
2674,positive regulation of sprouting angiogenesis
2675,positive regulation of stress fiber assembly
2676,positive regulation of stress-activated MAPK cascade
2677,positive regulation of substrate adhesion-dependent cell spreading
2678,positive regulation of superoxide anion generation
2679,positive regulation of synapse assembly
2680,positive regulation of synaptic transmission
2681,"positive regulation of synaptic transmission, GABAergic"
2682,"positive regulation of synaptic transmission, glutamatergic"
2683,positive regulation of systemic arterial blood pressure
2684,positive regulation of telomerase RNA localization to Cajal body
2685,positive regulation of telomerase activity
2686,positive regulation of telomere capping
2687,positive regulation of telomere maintenance
2688,positive regulation of telomere maintenance via telomerase
2689,positive regulation of toll-like receptor 4 signaling pathway
2690,positive regulation of transcription by RNA polymerase I
2691,positive regulation of transcription by RNA polymerase II
2692,positive regulation of transcription by RNA polymerase III
2693,positive regulation of transcription elongation from RNA polymerase II promoter
2694,positive regulation of transcription from RNA polymerase II promoter in response to endoplasmic reticulum stress
2695,positive regulation of transcription initiation from RNA polymerase II promoter
2696,positive regulation of transcription of Notch receptor target
2697,positive regulation of transcription of nucleolar large rRNA by RNA polymerase I
2698,positive regulation of transcription regulatory region DNA binding
2699,"positive regulation of transcription, DNA-templated"
2700,positive regulation of transforming growth factor beta receptor signaling pathway
2701,positive regulation of translation
2702,positive regulation of translational initiation
2703,positive regulation of triglyceride biosynthetic process
2704,positive regulation of tumor necrosis factor biosynthetic process
2705,positive regulation of tumor necrosis factor production
2706,positive regulation of tumor necrosis factor secretion
2707,positive regulation of type I interferon production
2708,positive regulation of type I interferon-mediated signaling pathway
2709,positive regulation of tyrosine phosphorylation of STAT protein
2710,positive regulation of ubiquitin protein ligase activity
2711,positive regulation of ubiquitin-dependent protein catabolic process
2712,positive regulation of ubiquitin-protein transferase activity
2713,positive regulation of urine volume
2714,positive regulation of vascular associated smooth muscle cell migration
2715,positive regulation of vascular endothelial cell proliferation
2716,positive regulation of vascular endothelial growth factor production
2717,positive regulation of vascular endothelial growth factor receptor signaling pathway
2718,positive regulation of vascular permeability
2719,positive regulation of vascular smooth muscle cell proliferation
2720,positive regulation of vasculogenesis
2721,positive regulation of vasoconstriction
2722,positive regulation of viral entry into host cell
2723,positive regulation of viral genome replication
2724,positive regulation of viral release from host cell
2725,positive regulation of wound healing
2726,positive thymic T cell selection
2727,post-Golgi vesicle-mediated transport
2728,post-anal tail morphogenesis
2729,post-embryonic development
2730,post-translational protein modification
2731,postreplication repair
2732,postsynaptic membrane assembly
2733,posttranscriptional gene silencing by RNA
2734,posttranscriptional regulation of gene expression
2735,potassium ion export across plasma membrane
2736,potassium ion homeostasis
2737,potassium ion import across plasma membrane
2738,potassium ion transmembrane transport
2739,potassium ion transport
2740,pre-mRNA cleavage required for polyadenylation
2741,pre-miRNA processing
2742,preassembly of GPI anchor in ER membrane
2743,prepulse inhibition
2744,presynapse assembly
2745,presynaptic membrane assembly
2746,primary miRNA processing
2747,production of miRNAs involved in gene silencing by miRNA
2748,prostaglandin biosynthetic process
2749,prostaglandin metabolic process
2750,prostate gland development
2751,proteasomal protein catabolic process
2752,proteasomal ubiquitin-independent protein catabolic process
2753,proteasome assembly
2754,proteasome-mediated ubiquitin-dependent protein catabolic process
2755,protein ADP-ribosylation
2756,protein K11-linked deubiquitination
2757,protein K11-linked ubiquitination
2758,protein K48-linked deubiquitination
2759,protein K48-linked ubiquitination
2760,protein K63-linked deubiquitination
2761,protein K63-linked ubiquitination
2762,protein N-linked glycosylation
2763,protein N-linked glycosylation via asparagine
2764,protein O-linked glycosylation
2765,protein O-linked mannosylation
2766,protein acetylation
2767,protein autophosphorylation
2768,protein autoprocessing
2769,protein autoubiquitination
2770,protein catabolic process
2771,protein complex oligomerization
2772,protein deacetylation
2773,protein deneddylation
2774,protein dephosphorylation
2775,protein destabilization
2776,protein deubiquitination
2777,protein export from nucleus
2778,protein folding
2779,protein folding in endoplasmic reticulum
2780,protein glycosylation
2781,protein heterooligomerization
2782,protein heterotetramerization
2783,protein heterotrimerization
2784,protein hexamerization
2785,protein homooligomerization
2786,protein homotetramerization
2787,protein homotrimerization
2788,protein import into mitochondrial matrix
2789,protein import into nucleus
2790,"protein import into nucleus, translocation"
2791,protein import into peroxisome matrix
2792,protein kinase A signaling
2793,protein kinase B signaling
2794,protein kinase C signaling
2795,protein kinase C-activating G protein-coupled receptor signaling pathway
2796,protein lipidation
2797,protein localization
2798,protein localization to Golgi apparatus
2799,protein localization to cell surface
2800,protein localization to centrosome
2801,protein localization to chromatin
2802,"protein localization to chromosome, telomeric region"
2803,protein localization to cilium
2804,protein localization to kinetochore
2805,protein localization to membrane
2806,protein localization to microtubule
2807,protein localization to nucleus
2808,protein localization to organelle
2809,protein localization to phagophore assembly site
2810,protein localization to plasma membrane
2811,protein localization to synapse
2812,protein maturation
2813,protein maturation by iron-sulfur cluster transfer
2814,protein methylation
2815,protein monoubiquitination
2816,protein neddylation
2817,protein palmitoylation
2818,protein peptidyl-prolyl isomerization
2819,protein phosphorylation
2820,protein polyglutamylation
2821,protein polymerization
2822,protein polyubiquitination
2823,protein processing
2824,protein quality control for misfolded or incompletely synthesized proteins
2825,protein refolding
2826,protein secretion
2827,protein stabilization
2828,protein sumoylation
2829,protein targeting
2830,protein targeting to ER
2831,protein targeting to lysosome
2832,protein targeting to membrane
2833,protein targeting to mitochondrion
2834,protein targeting to peroxisome
2835,protein tetramerization
2836,protein transport
2837,protein trimerization
2838,protein ubiquitination
2839,protein-chromophore linkage
2840,protein-containing complex assembly
2841,proteoglycan biosynthetic process
2842,proteolysis
2843,proteolysis involved in cellular protein catabolic process
2844,proton transmembrane transport
2845,proximal/distal pattern formation
2846,pulmonary valve morphogenesis
2847,purine nucleotide biosynthetic process
2848,purine nucleotide catabolic process
2849,purine ribonucleoside monophosphate biosynthetic process
2850,purine-containing compound salvage
2851,pyrimidine nucleoside catabolic process
2852,pyrimidine nucleoside salvage
2853,pyroptosis
2854,pyruvate metabolic process
2855,rRNA catabolic process
2856,rRNA methylation
2857,rRNA processing
2858,rRNA transcription
2859,reactive oxygen species metabolic process
2860,receptor catabolic process
2861,receptor clustering
2862,receptor guanylyl cyclase signaling pathway
2863,receptor internalization
2864,receptor localization to synapse
2865,receptor recycling
2866,receptor-mediated endocytosis
2867,reciprocal meiotic recombination
2868,regulated exocytosis
2869,regulation of AMPA receptor activity
2870,regulation of ARF protein signal transduction
2871,regulation of B cell differentiation
2872,regulation of B cell receptor signaling pathway
2873,regulation of DNA damage checkpoint
2874,regulation of DNA methylation
2875,regulation of DNA replication
2876,regulation of DNA-binding transcription factor activity
2877,regulation of ERK1 and ERK2 cascade
2878,regulation of G protein-coupled receptor signaling pathway
2879,regulation of G1/S transition of mitotic cell cycle
2880,regulation of G2/M transition of mitotic cell cycle
2881,regulation of GTPase activity
2882,regulation of Golgi organization
2883,regulation of I-kappaB kinase/NF-kappaB signaling
2884,regulation of JNK cascade
2885,regulation of MAP kinase activity
2886,regulation of MAPK cascade
2887,regulation of NIK/NF-kappaB signaling
2888,regulation of NMDA receptor activity
2889,regulation of Notch signaling pathway
2890,regulation of RNA splicing
2891,regulation of Rho protein signal transduction
2892,regulation of T cell differentiation
2893,regulation of TOR signaling
2894,regulation of Wnt signaling pathway
2895,regulation of actin cytoskeleton organization
2896,regulation of actin cytoskeleton reorganization
2897,regulation of actin filament polymerization
2898,regulation of actin polymerization or depolymerization
2899,"regulation of alternative mRNA splicing, via spliceosome"
2900,regulation of androgen receptor signaling pathway
2901,regulation of angiogenesis
2902,regulation of apoptotic process
2903,regulation of autophagosome assembly
2904,regulation of autophagy
2905,regulation of autophagy of mitochondrion
2906,regulation of axon extension
2907,regulation of axonogenesis
2908,regulation of behavior
2909,regulation of bicellular tight junction assembly
2910,regulation of blood pressure
2911,regulation of blood vessel diameter
2912,regulation of bone mineralization
2913,regulation of calcium ion transport
2914,regulation of calcium-mediated signaling
2915,regulation of canonical Wnt signaling pathway
2916,regulation of cardiac conduction
2917,regulation of cardiac muscle cell contraction
2918,regulation of cardiac muscle contraction
2919,regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion
2920,regulation of catalytic activity
2921,regulation of cell adhesion
2922,regulation of cell adhesion mediated by integrin
2923,regulation of cell cycle
2924,regulation of cell differentiation
2925,regulation of cell growth
2926,regulation of cell migration
2927,regulation of cell morphogenesis
2928,regulation of cell motility
2929,regulation of cell proliferation
2930,regulation of cell shape
2931,regulation of cell size
2932,regulation of cell-matrix adhesion
2933,regulation of cellular protein localization
2934,regulation of cellular response to heat
2935,regulation of cellular senescence
2936,regulation of centrosome duplication
2937,regulation of cholesterol biosynthetic process
2938,regulation of cholesterol metabolic process
2939,regulation of cilium assembly
2940,regulation of circadian rhythm
2941,regulation of complement activation
2942,regulation of cyclin-dependent protein serine/threonine kinase activity
2943,regulation of cytokine production
2944,regulation of cytokinesis
2945,regulation of cytoskeleton organization
2946,regulation of cytosolic calcium ion concentration
2947,regulation of defense response to virus by virus
2948,regulation of dendrite development
2949,regulation of dendrite morphogenesis
2950,regulation of dendritic spine morphogenesis
2951,regulation of dopamine metabolic process
2952,regulation of dopamine secretion
2953,regulation of double-strand break repair via homologous recombination
2954,regulation of embryonic development
2955,regulation of endocytosis
2956,regulation of epithelial cell proliferation
2957,regulation of epithelial to mesenchymal transition
2958,regulation of establishment of cell polarity
2959,regulation of exit from mitosis
2960,regulation of exocytosis
2961,regulation of extrinsic apoptotic signaling pathway via death domain receptors
2962,regulation of fat cell differentiation
2963,regulation of fatty acid biosynthetic process
2964,regulation of filopodium assembly
2965,regulation of focal adhesion assembly
2966,regulation of gastrulation
2967,regulation of gene expression
2968,regulation of gene expression by genetic imprinting
2969,"regulation of gene expression, epigenetic"
2970,regulation of gene silencing by miRNA
2971,regulation of gluconeogenesis
2972,regulation of glucose metabolic process
2973,regulation of glycolytic process
2974,regulation of growth
2975,regulation of heart contraction
2976,regulation of heart rate
2977,regulation of heart rate by cardiac conduction
2978,regulation of hematopoietic stem cell differentiation
2979,regulation of immune response
2980,regulation of inflammatory response
2981,regulation of innate immune response
2982,regulation of insulin receptor signaling pathway
2983,regulation of insulin secretion
2984,regulation of insulin secretion involved in cellular response to glucose stimulus
2985,regulation of interferon-gamma-mediated signaling pathway
2986,regulation of intracellular estrogen receptor signaling pathway
2987,regulation of intracellular pH
2988,regulation of ion transmembrane transport
2989,regulation of keratinocyte differentiation
2990,regulation of lamellipodium assembly
2991,regulation of lipid metabolic process
2992,regulation of long-term neuronal synaptic plasticity
2993,regulation of long-term synaptic potentiation
2994,regulation of mRNA processing
2995,"regulation of mRNA splicing, via spliceosome"
2996,regulation of mRNA stability
2997,regulation of macroautophagy
2998,regulation of macrophage activation
2999,regulation of megakaryocyte differentiation
3000,regulation of membrane potential
3001,regulation of membrane repolarization
3002,regulation of microtubule cytoskeleton organization
3003,regulation of microtubule polymerization
3004,regulation of microtubule polymerization or depolymerization
3005,regulation of mitochondrial membrane permeability
3006,regulation of mitochondrial membrane potential
3007,regulation of mitochondrion organization
3008,regulation of mitotic cell cycle
3009,regulation of mitotic cell cycle phase transition
3010,regulation of mitotic nuclear division
3011,regulation of mitotic spindle assembly
3012,regulation of mitotic spindle organization
3013,regulation of multicellular organism growth
3014,regulation of muscle contraction
3015,regulation of myelination
3016,regulation of myeloid cell differentiation
3017,regulation of neurogenesis
3018,regulation of neuron apoptotic process
3019,regulation of neuron death
3020,regulation of neuron differentiation
3021,regulation of neuron migration
3022,regulation of neuron projection development
3023,regulation of neuronal synaptic plasticity
3024,regulation of neurotransmitter secretion
3025,regulation of nitric-oxide synthase activity
3026,regulation of ossification
3027,regulation of osteoblast differentiation
3028,regulation of osteoclast differentiation
3029,regulation of oxidative phosphorylation
3030,regulation of pH
3031,regulation of peptidyl-tyrosine phosphorylation
3032,regulation of phosphatidylinositol 3-kinase signaling
3033,regulation of phosphoprotein phosphatase activity
3034,regulation of phosphorylation
3035,regulation of postsynapse organization
3036,regulation of postsynaptic density assembly
3037,regulation of postsynaptic membrane neurotransmitter receptor levels
3038,regulation of postsynaptic membrane potential
3039,regulation of postsynaptic neurotransmitter receptor activity
3040,regulation of postsynaptic neurotransmitter receptor internalization
3041,regulation of potassium ion transmembrane transport
3042,regulation of presynapse assembly
3043,regulation of proteasomal protein catabolic process
3044,regulation of proteasomal ubiquitin-dependent protein catabolic process
3045,regulation of protein binding
3046,regulation of protein catabolic process
3047,regulation of protein complex assembly
3048,regulation of protein heterodimerization activity
3049,regulation of protein kinase A signaling
3050,regulation of protein kinase activity
3051,regulation of protein localization
3052,regulation of protein localization to plasma membrane
3053,regulation of protein phosphorylation
3054,regulation of protein secretion
3055,regulation of protein stability
3056,regulation of protein ubiquitination
3057,regulation of proteolysis
3058,regulation of reactive oxygen species metabolic process
3059,regulation of regulatory T cell differentiation
3060,regulation of release of sequestered calcium ion into cytosol
3061,regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum
3062,regulation of respiratory gaseous exchange by neurological system process
3063,regulation of response to DNA damage stimulus
3064,regulation of rhodopsin mediated signaling pathway
3065,regulation of ryanodine-sensitive calcium-release channel activity
3066,regulation of sensory perception of pain
3067,regulation of short-term neuronal synaptic plasticity
3068,regulation of signal transduction
3069,regulation of signal transduction by p53 class mediator
3070,regulation of signaling receptor activity
3071,regulation of small GTPase mediated signal transduction
3072,regulation of smooth muscle contraction
3073,regulation of smoothened signaling pathway
3074,regulation of sodium ion transmembrane transporter activity
3075,regulation of sodium ion transport
3076,regulation of stem cell population maintenance
3077,regulation of store-operated calcium entry
3078,regulation of stress fiber assembly
3079,regulation of synapse organization
3080,regulation of synaptic plasticity
3081,"regulation of synaptic transmission, GABAergic"
3082,"regulation of synaptic transmission, glutamatergic"
3083,regulation of synaptic vesicle exocytosis
3084,regulation of systemic arterial blood pressure
3085,regulation of telomere maintenance
3086,regulation of the force of heart contraction
3087,regulation of transcription by RNA polymerase II
3088,regulation of transcription by RNA polymerase III
3089,regulation of transcription from RNA polymerase II promoter in response to hypoxia
3090,regulation of transcription involved in G1/S transition of mitotic cell cycle
3091,"regulation of transcription, DNA-templated"
3092,regulation of transforming growth factor beta receptor signaling pathway
3093,regulation of translation
3094,regulation of translational initiation
3095,regulation of tumor necrosis factor-mediated signaling pathway
3096,regulation of type I interferon production
3097,regulation of vascular permeability
3098,regulation of vasoconstriction
3099,regulation of ventricular cardiac muscle cell action potential
3100,regulation of ventricular cardiac muscle cell membrane repolarization
3101,relaxation of cardiac muscle
3102,release of cytochrome c from mitochondria
3103,release of sequestered calcium ion into cytosol
3104,removal of superoxide radicals
3105,renal system development
3106,renal water homeostasis
3107,replication fork processing
3108,replicative senescence
3109,resolution of meiotic recombination intermediates
3110,respiratory burst
3111,respiratory electron transport chain
3112,respiratory gaseous exchange
3113,respiratory system process
3114,response to ATP
3115,response to UV
3116,response to UV-B
3117,response to UV-C
3118,response to X-ray
3119,response to acidic pH
3120,response to activity
3121,response to amine
3122,response to amino acid
3123,response to amphetamine
3124,response to antibiotic
3125,response to arsenic-containing substance
3126,response to auditory stimulus
3127,response to axon injury
3128,response to bacterium
3129,response to cAMP
3130,response to cadmium ion
3131,response to calcium ion
3132,response to carbohydrate
3133,response to cocaine
3134,response to cold
3135,response to copper ion
3136,response to corticosterone
3137,response to cytokine
3138,response to denervation involved in regulation of muscle adaptation
3139,response to dexamethasone
3140,response to dietary excess
3141,response to drug
3142,response to electrical stimulus
3143,response to endoplasmic reticulum stress
3144,response to estradiol
3145,response to estrogen
3146,response to ethanol
3147,response to exogenous dsRNA
3148,response to fatty acid
3149,response to food
3150,response to gamma radiation
3151,response to glucagon
3152,response to glucocorticoid
3153,response to glucose
3154,response to growth factor
3155,response to growth hormone
3156,response to heat
3157,response to hormone
3158,response to hydrogen peroxide
3159,response to hydroperoxide
3160,response to hyperoxia
3161,response to hypoxia
3162,response to immobilization stress
3163,response to insulin
3164,response to interferon-alpha
3165,response to interferon-beta
3166,response to interferon-gamma
3167,response to interleukin-1
3168,response to ionizing radiation
3169,response to iron ion
3170,response to ischemia
3171,response to lead ion
3172,response to light stimulus
3173,response to lipid
3174,response to lipopolysaccharide
3175,response to magnesium ion
3176,response to mechanical stimulus
3177,response to metal ion
3178,response to morphine
3179,response to muramyl dipeptide
3180,response to muscle activity
3181,response to muscle stretch
3182,response to nicotine
3183,response to nutrient
3184,response to nutrient levels
3185,response to organic cyclic compound
3186,response to organic substance
3187,response to organonitrogen compound
3188,response to osmotic stress
3189,response to oxidative stress
3190,response to pain
3191,response to peptide hormone
3192,response to progesterone
3193,response to radiation
3194,response to reactive oxygen species
3195,response to redox state
3196,response to retinoic acid
3197,response to selenium ion
3198,response to starvation
3199,response to steroid hormone
3200,response to stimulus
3201,response to testosterone
3202,response to toxic substance
3203,response to transforming growth factor beta
3204,response to tumor necrosis factor
3205,response to unfolded protein
3206,response to virus
3207,response to vitamin A
3208,response to vitamin D
3209,response to wounding
3210,response to yeast
3211,response to zinc ion
3212,retina development in camera-type eye
3213,retina homeostasis
3214,retina layer formation
3215,retinal cone cell development
3216,retinal ganglion cell axon guidance
3217,retinal metabolic process
3218,retinoic acid metabolic process
3219,retinoic acid receptor signaling pathway
3220,retinoid metabolic process
3221,retinol metabolic process
3222,"retrograde protein transport, ER to cytosol"
3223,"retrograde transport, endosome to Golgi"
3224,"retrograde transport, endosome to plasma membrane"
3225,"retrograde vesicle-mediated transport, Golgi to ER"
3226,reverse cholesterol transport
3227,rhodopsin mediated signaling pathway
3228,rhythmic process
3229,ribosomal large subunit assembly
3230,ribosomal large subunit biogenesis
3231,ribosomal large subunit export from nucleus
3232,ribosomal small subunit assembly
3233,ribosomal small subunit biogenesis
3234,ribosome biogenesis
3235,roof of mouth development
3236,ruffle assembly
3237,ruffle organization
3238,sarcomere organization
3239,secondary palate development
3240,secretion by cell
3241,semaphorin-plexin signaling pathway
3242,semaphorin-plexin signaling pathway involved in axon guidance
3243,seminiferous tubule development
3244,sensory perception of pain
3245,sensory perception of smell
3246,sensory perception of sound
3247,sensory perception of taste
3248,septin ring assembly
3249,sequestering of actin monomers
3250,sex differentiation
3251,signal peptide processing
3252,signal transduction
3253,signal transduction by protein phosphorylation
3254,signal transduction in response to DNA damage
3255,signal transduction involved in G2 DNA damage checkpoint
3256,signal transduction involved in regulation of gene expression
3257,single fertilization
3258,sister chromatid cohesion
3259,skeletal muscle cell differentiation
3260,skeletal muscle contraction
3261,skeletal muscle fiber development
3262,skeletal muscle myosin thick filament assembly
3263,skeletal muscle thin filament assembly
3264,skeletal muscle tissue development
3265,skeletal muscle tissue regeneration
3266,skeletal system development
3267,skeletal system morphogenesis
3268,skin development
3269,sleep
3270,small GTPase mediated signal transduction
3271,smooth muscle cell differentiation
3272,smooth muscle contraction
3273,smooth muscle tissue development
3274,smoothened signaling pathway
3275,snRNA 3'-end processing
3276,snRNA processing
3277,snRNA transcription by RNA polymerase II
3278,social behavior
3279,sodium ion export across plasma membrane
3280,sodium ion homeostasis
3281,sodium ion import across plasma membrane
3282,sodium ion transmembrane transport
3283,sodium ion transport
3284,sodium-independent organic anion transport
3285,somatic hypermutation of immunoglobulin genes
3286,somatic stem cell population maintenance
3287,somite development
3288,somite rostral/caudal axis specification
3289,somitogenesis
3290,sperm axoneme assembly
3291,sperm capacitation
3292,sperm-egg recognition
3293,spermatid development
3294,spermatogenesis
3295,sphingolipid biosynthetic process
3296,sphingolipid metabolic process
3297,sphingosine biosynthetic process
3298,spinal cord association neuron differentiation
3299,spinal cord development
3300,spinal cord motor neuron differentiation
3301,spindle assembly
3302,spindle organization
3303,spleen development
3304,spliceosomal complex assembly
3305,spliceosomal snRNP assembly
3306,spliceosomal tri-snRNP complex assembly
3307,sprouting angiogenesis
3308,startle response
3309,stem cell differentiation
3310,stem cell population maintenance
3311,steroid biosynthetic process
3312,steroid metabolic process
3313,sterol biosynthetic process
3314,sterol metabolic process
3315,stimulatory C-type lectin receptor signaling pathway
3316,stress fiber assembly
3317,stress granule assembly
3318,stress-activated MAPK cascade
3319,stress-activated protein kinase signaling cascade
3320,striated muscle cell differentiation
3321,striated muscle contraction
3322,striatum development
3323,substantia nigra development
3324,substrate adhesion-dependent cell spreading
3325,"substrate-dependent cell migration, cell extension"
3326,succinate metabolic process
3327,suckling behavior
3328,sulfate transport
3329,sulfur compound metabolic process
3330,superoxide anion generation
3331,superoxide metabolic process
3332,supramolecular fiber organization
3333,surfactant homeostasis
3334,susceptibility to natural killer cell mediated cytotoxicity
3335,sympathetic nervous system development
3336,synapse assembly
3337,synapse maturation
3338,synapse organization
3339,synapsis
3340,synaptic membrane adhesion
3341,"synaptic transmission, GABAergic"
3342,"synaptic transmission, cholinergic"
3343,"synaptic transmission, dopaminergic"
3344,"synaptic transmission, glutamatergic"
3345,synaptic vesicle docking
3346,synaptic vesicle endocytosis
3347,synaptic vesicle exocytosis
3348,synaptic vesicle fusion to presynaptic active zone membrane
3349,synaptic vesicle maturation
3350,synaptic vesicle priming
3351,synaptic vesicle transport
3352,synaptonemal complex assembly
3353,t-circle formation
3354,tRNA 5'-leader removal
3355,tRNA aminoacylation for protein translation
3356,tRNA methylation
3357,tRNA modification
3358,tRNA processing
3359,tRNA wobble uridine modification
3360,telencephalon development
3361,telomere capping
3362,telomere maintenance
3363,telomere maintenance via recombination
3364,telomere maintenance via semi-conservative replication
3365,telomere maintenance via telomerase
3366,temperature homeostasis
3367,termination of RNA polymerase I transcription
3368,termination of RNA polymerase II transcription
3369,tetrahydrofolate interconversion
3370,thalamus development
3371,thymus development
3372,thyroid gland development
3373,thyroid hormone generation
3374,tissue development
3375,tissue homeostasis
3376,tissue regeneration
3377,toll-like receptor 3 signaling pathway
3378,toll-like receptor 4 signaling pathway
3379,toll-like receptor 9 signaling pathway
3380,toll-like receptor signaling pathway
3381,tongue development
3382,toxin transport
3383,transcription by RNA polymerase II
3384,transcription by RNA polymerase III
3385,transcription elongation from RNA polymerase II promoter
3386,transcription initiation from RNA polymerase I promoter
3387,transcription initiation from RNA polymerase II promoter
3388,"transcription, DNA-templated"
3389,transcription-coupled nucleotide-excision repair
3390,transcytosis
3391,transferrin transport
3392,transforming growth factor beta receptor signaling pathway
3393,translation
3394,translational elongation
3395,translational initiation
3396,translesion synthesis
3397,transmembrane receptor protein tyrosine kinase signaling pathway
3398,transmembrane transport
3399,transmission of nerve impulse
3400,tricarboxylic acid cycle
3401,triglyceride biosynthetic process
3402,triglyceride catabolic process
3403,triglyceride homeostasis
3404,triglyceride metabolic process
3405,trophectodermal cell differentiation
3406,trophoblast giant cell differentiation
3407,tumor necrosis factor-mediated signaling pathway
3408,type B pancreatic cell development
3409,type I interferon signaling pathway
3410,ubiquinone biosynthetic process
3411,ubiquitin-dependent ERAD pathway
3412,ubiquitin-dependent protein catabolic process
3413,ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway
3414,unsaturated fatty acid biosynthetic process
3415,urate metabolic process
3416,urea cycle
3417,ureteric bud development
3418,urogenital system development
3419,uterus development
3420,vacuolar acidification
3421,vagina development
3422,vascular endothelial growth factor receptor signaling pathway
3423,vasculature development
3424,vasculogenesis
3425,vasoconstriction
3426,vasodilation
3427,ventricular cardiac muscle cell action potential
3428,ventricular cardiac muscle cell development
3429,ventricular cardiac muscle tissue morphogenesis
3430,ventricular septum development
3431,ventricular septum morphogenesis
3432,ventricular system development
3433,ventricular trabecula myocardium morphogenesis
3434,very long-chain fatty acid biosynthetic process
3435,very long-chain fatty acid metabolic process
3436,very-low-density lipoprotein particle assembly
3437,vesicle budding from membrane
3438,vesicle docking
3439,vesicle docking involved in exocytosis
3440,vesicle fusion
3441,vesicle organization
3442,vesicle transport along microtubule
3443,vesicle-mediated transport
3444,viral budding via host ESCRT complex
3445,viral entry into host cell
3446,viral genome replication
3447,viral life cycle
3448,viral process
3449,virion assembly
3450,visual learning
3451,visual perception
3452,vitamin D metabolic process
3453,vocalization behavior
3454,water transport
3455,white fat cell differentiation
3456,wound healing
3457,"wound healing, spreading of cells"
3458,"wound healing, spreading of epidermal cells"
3459,xenobiotic glucuronidation
3460,xenobiotic metabolic process
3461,zinc ion transmembrane transport
3462,zinc ion transport
3463,zymogen activation
