Protein,Druggability Score ,Total Pocket Number,Score ,Second Highest Druggable Pocket Score,Third Highest Druggable Pocket Score,Number of Alpha Spheres ,Total SASA ,Polar SASA ,Apolar SASA ,Volume ,Mean local hydrophobic density ,Mean alpha sphere radius ,Mean alp. sph. solvent access ,Apolar alpha sphere proportion ,Hydrophobicity score,Volume score,Polarity score,Charge score ,Proportion of polar atoms,Alpha sphere density ,Cent. of mass - Alpha Sphere max dist,Flexibility 
Q99750,0.768,7,0.208,0.013,0.004,40,148.057,15,133.057,401.006,34.895,3.805,0.466,0.95,56.25,3.833,2,-1,18.519,3.785,11.098,0.674
Q99755,0.901,49,0.192,0.382,0.042,84,244.383,63.814,180.57,816.835,35.93,3.876,0.436,0.679,35.731,4.5,11,-1,32.143,7.313,18.491,0.888
Q99757,0.187,6,0.171,0.175,0.005,15,87.05,18.215,68.835,287.115,8.909,3.832,0.696,0.733,41.714,3.571,3,-1,36.842,3.999,9.309,0.988
Q99758,0.786,133,-0.559,0.697,0.505,240,551.745,217.231,334.513,1770.37,47.029,3.931,0.422,0.438,25.581,4.645,19,0,35.345,8.391,20.651,0.466
Q99759,0.278,40,-0.433,0.014,0.008,95,418.883,115.531,303.352,1213.597,37.611,3.939,0.485,0.758,37.238,4.333,10,-1,32.308,8.477,21.437,0.682
Q99766,0.38,18,0.107,0.295,0.284,26,101.84,25.759,76.081,395.084,14,3.938,0.647,0.577,44,4.5,1,1,31.579,3.809,8.32,0.046
Q99767,0.628,42,-0.213,0.061,0.043,65,197.244,47.498,149.746,660.123,37.907,4.04,0.518,0.662,29.091,4.455,4,0,30.769,4.468,13.267,0.531
Q99784,0.309,29,0.029,0.21,0.189,57,134.625,47.675,86.949,458.818,33.371,3.873,0.472,0.614,41.333,5,4,1,30.303,3.844,9.044,0.585
Q99788,0.801,32,-0.091,0.746,0.09,184,402.245,146.227,256.017,1332.166,49.75,3.981,0.444,0.478,16.314,3.543,23,-2,43.299,8.373,21.963,0.519
Q99795,0.194,21,0.094,0.181,0.019,21,80.253,16.249,64.004,204.804,20,4.115,0.577,1,49.333,6.333,2,1,13.333,1.794,3.795,0.079
Q99797,0.735,57,-0.089,0.65,0.357,46,172.566,53.01,119.555,575.314,27.135,4.035,0.541,0.804,26.3,4.7,5,2,23.529,6.147,16.855,0.98
Q99798,0.677,53,0.226,0.636,0.46,81,246.393,120.8,125.593,887.119,19.714,3.923,0.515,0.346,7.391,3.87,12,1,48.333,7.057,20.491,0.973
Q99801,0.461,12,-0.483,0.005,0.004,125,546.385,132.763,413.622,1484.427,33.126,3.976,0.458,0.696,50.158,5.053,10,3,27.5,9.022,21.63,0.547
Q99805,0.928,57,0.025,0.4,0.054,109,251.232,11.963,239.269,770.261,79.584,3.974,0.518,0.927,74.7,4.75,3,0,12.698,5.504,13.03,0.942
Q99807,0.928,12,0.077,0.023,0.003,97,214.59,11.808,202.782,629.124,58.182,4.01,0.504,0.68,58.158,3.474,2,0,31.481,4.951,13.216,0.988
Q99808,0.721,38,-0.323,0.351,0.253,176,515.07,149.278,365.792,1624.941,41.495,4.03,0.45,0.517,29.725,4.1,19,1,30.928,9.325,23.045,0.945
Q99811,0.12,7,0.303,0.003,0.001,68,171.075,62.388,108.687,608.717,28.541,3.743,0.492,0.544,17.417,4.167,8,2,34.043,5.279,11.776,0.362
Q99814,0.893,48,0.105,0.529,0.498,69,195.312,27.946,167.365,630.781,40.44,3.98,0.44,0.725,49.444,4.111,6,0,35.556,5.608,14.258,0.787
Q99816,0.629,27,0.259,0.092,0.035,54,139.258,35.402,103.856,503.736,40,3.865,0.474,0.759,52,4.727,4,0,26.667,3.761,10.168,0.957
Q99819,0.864,21,0.415,0.446,0.339,77,170.835,57.318,113.517,623.124,28.8,3.822,0.423,0.519,6.667,4,7,2,42.222,6.49,18.42,0.605
Q99828,0.561,23,0.079,0.067,0.006,97,247.059,53.839,193.22,856.942,52.324,3.962,0.477,0.701,51.053,4.368,5,1,26.786,5.66,13.599,0.605
Q99829,0.378,23,-0.114,0.212,0.157,51,187.883,80.404,107.479,475.882,26.071,3.764,0.391,0.549,20,4.2,7,-1,37.5,4.938,11.343,0.973
Q99832,0.851,42,0.241,0.072,0.07,125,295.295,130.266,165.029,1154.577,24.458,3.957,0.448,0.384,19.767,3.6,14,1,44.286,7.734,21.117,0.867
Q99835,0.612,67,0.038,0.371,0.227,47,124.386,0,124.386,421.854,36,3.783,0.439,0.957,79.143,4.357,1,0,24.242,4.883,10.967,0.642
Q99836,0.522,21,0.001,0.313,0.02,82,218.564,80.736,137.828,836.231,30.564,3.898,0.435,0.476,32.9,3.8,8,-2,38.298,5.752,12.729,0.844
Q99848,0.881,22,0.304,0.386,0.197,48,191.572,80.47,111.102,839.98,16.143,4.087,0.584,0.583,-2.182,4,8,-1,36.111,6.377,18.783,0.604
Q99853,0.37,13,0.018,0.207,0.2,17,115.488,22.501,92.987,333.935,16,3.987,0.545,1,-8.167,4.333,4,1,18.75,3.357,7.512,0.619
Q99856,0.593,30,-0.036,0.159,0.076,36,124.941,36.784,88.157,392.275,16.8,4.085,0.632,0.556,17.333,5.167,4,1,44.444,4.558,11.765,0.82
Q99865,0.432,13,0.345,0.011,0.009,66,79.457,11.83,67.627,294.77,64,3.874,0.497,0.985,65.889,6,6,0,14.286,2.398,6.891,0.996
Q99871,0.463,31,0.07,0.021,0.018,74,207.3,63.592,143.708,569.081,52.473,4.013,0.502,0.743,49.091,5.091,5,-1,30.952,4.471,12.321,0.593
Q99873,0.939,29,0.234,0.784,0.139,152,339.639,118.524,221.114,1161.861,23,3.844,0.431,0.316,32.056,4.417,18,1,41.573,9.488,22.995,0.898
Q99877,0.935,11,0.313,0.344,0.232,35,140.525,1.094,139.431,502.153,26.065,4.125,0.605,0.886,70.8,4.9,3,1,17.241,4.612,13.088,0.955
Q99878,0.23,4,0.074,0.048,0.016,18,79.549,10.715,68.835,173.609,15,3.834,0.596,0.889,87.833,5.167,1,0,26.667,1.94,4.147,0.981
Q99879,0.888,11,0.298,0.497,0.148,36,142.839,1.071,141.768,503.543,27.188,4.097,0.601,0.889,70.8,4.9,3,1,18.519,4.516,11.257,0.964
Q99880,0.944,11,0.309,0.56,0.356,32,134.68,0,134.68,449.555,23.643,4.132,0.594,0.875,78,5.125,2,0,16,4.397,13.275,0.947
Q99884,0.618,39,-0.017,0.618,0.5,54,226.363,8.594,217.769,753.99,21.714,3.997,0.619,0.778,74.786,4.643,1,0,17.073,8.075,18.99,0.938
Q99895,0.701,10,0.205,0.016,0.004,49,160.073,48.813,111.26,422.766,20.333,3.73,0.415,0.612,42.769,4.462,5,2,34.286,4.858,10.869,0.987
Q99909,0.877,20,-0.051,0.225,0.2,45,232.647,23.727,208.92,703.132,25.667,4.186,0.445,0.667,33,4.5,3,2,21.875,4.481,13.843,0.595
Q99928,0.861,39,0.18,0.469,0.294,43,116.07,29.062,87.008,340.267,22.345,3.709,0.46,0.674,45.778,4.778,4,2,31.25,4.216,12.575,0.609
Q99929,0.569,10,0.047,0.147,0.067,25,137.928,17.165,120.763,341.892,20.727,3.937,0.501,0.88,61,3.714,1,0,25,3.454,8.383,0.77
Q99932,0.506,23,-0.205,0.229,0.2,35,244.367,49.464,194.903,755.583,22,4.101,0.547,0.743,33.636,4.909,6,-1,32.258,5.367,11.669,0.47
Q99933,0.216,26,0.203,0.162,0.056,24,50.727,11.786,38.941,163.189,17,3.926,0.555,0.75,5,3.2,3,-2,28.571,1.833,3.701,0.917
Q99935,0.246,10,0.38,0.07,0.053,29,87.985,20.358,67.627,343.123,18,4.148,0.607,0.655,25.667,5.167,2,1,27.273,3.1,6.805,0.596
Q99941,0.572,35,-0.333,0.184,0.095,82,405.672,105.468,300.204,1121.085,30.68,4.029,0.433,0.61,47.056,4,4,0,30.645,7.535,20.222,0.525
Q99942,0.689,13,-0.247,0.097,0.036,124,414.672,147.786,266.886,1427.635,25.026,4.008,0.551,0.315,-3.455,4.591,14,4,40.789,7.581,24.131,0.421
Q99943,0.982,18,0.084,0.111,0.039,99,303.336,59.395,243.941,1051.805,45.099,4.014,0.483,0.717,32.714,3.905,7,3,38.095,7.729,24.212,0.85
Q99944,0.064,17,0.009,0.023,0.014,123,361.649,194.996,166.653,1112.332,34.9,3.908,0.496,0.488,19.909,4.636,17,-2,41.096,8.03,18.945,0.611
Q99946,0.725,16,-0.08,0.175,0.015,75,290.945,45.046,245.9,820.958,43.898,3.97,0.472,0.787,44.941,3.235,5,0,36.735,6.101,14.873,0.7
Q99952,0.315,31,-0.134,0.159,0.055,100,314.738,107.699,207.038,1142.577,40.226,3.942,0.461,0.53,20.737,3.474,8,0,41.935,6.6,15.922,0.642
Q99954,0.209,7,-0.019,0.186,0.003,19,148.306,51.696,96.61,333.625,16,4.058,0.444,0.895,1.667,4.667,2,1,35.714,3.07,8.676,0.357
Q99956,0.403,29,-0.098,0.091,0.082,39,130.011,38.231,91.78,392.858,19.429,3.986,0.52,0.538,44.571,5.429,4,3,27.586,3.621,8.164,0.78
Q99958,0.668,20,0.177,0.089,0.027,24,82.682,2.187,80.495,292.401,18,3.839,0.533,0.792,64.5,4.75,1,1,22.222,2.521,7.775,0.519
Q99959,0.069,39,-0.572,0.049,0.02,115,445.779,148.702,297.077,1296.506,37.636,3.899,0.432,0.574,10.667,4.208,17,3,39.726,7.531,16.445,0.545
Q99961,0.467,28,-0.012,0.186,0.037,32,86.405,4.286,82.119,247.753,29,4.015,0.577,0.938,61.25,4.125,2,0,22.727,2.154,6.839,0.975
Q99962,0.624,36,0.02,0.541,0.294,27,105.318,7.5,97.818,272.231,25.63,3.828,0.521,1,65.444,4.222,2,0,18.182,2.88,8.637,0.98
Q99963,0.701,32,0.012,0.429,0.353,20,112.428,8.572,103.856,240.952,17.6,3.839,0.487,1,69.333,4.444,2,0,11.111,3.551,9.51,0.977
Q99965,0.267,50,-0.047,0.039,0.037,62,189.628,78.526,111.102,671.618,27.824,3.765,0.36,0.548,24.263,4.053,11,2,39.474,5.69,14.02,0.682
Q99966,0.527,3,0.227,0.054,0.001,18,105.548,27.052,78.496,338.152,11.692,3.888,0.628,0.722,43.333,4.333,3,0,31.579,3.906,9.938,0.686
Q99967,0.676,15,-0.027,0.044,0.01,49,241.174,32.254,208.92,791.444,28.133,4.153,0.552,0.612,37.462,3.769,2,1,32.353,4.928,12.259,0.403
Q99969,0.653,11,0.049,0.346,0.012,124,299.777,86.027,213.75,922.476,32.28,3.953,0.451,0.403,12.727,4.5,14,2,44.776,6.977,20.377,0.733
Q99972,0.646,36,-0.275,0.5,0.174,33,170.642,29.35,141.292,449.205,25.556,4.109,0.578,0.818,26.6,4.5,5,0,35.714,3.837,9.04,0.739
Q99973,0.176,247,0.073,0.087,0.058,51,100.147,32.52,67.627,336.833,26.788,3.603,0.39,0.647,46,4.643,7,5,22.222,4.553,13.836,0.943
Q99983,0.055,31,-0.262,0.017,0.008,107,285.978,163.295,122.683,917.873,47.684,4.031,0.446,0.533,8.45,4.3,18,1,43.86,5.551,15.175,0.625
Q99985,0.47,66,0.021,0.294,0.066,44,99.759,18.215,81.544,279.613,42,3.666,0.359,0.977,29.714,4.286,3,-3,20,2.883,7.092,0.362
Q99986,0.209,24,-0.177,0.201,0.136,22,86.657,2.143,84.514,171.966,21,4.087,0.548,1,36,5,3,-1,6.667,1.284,2.98,0.982
Q99988,0.082,23,-0.055,0.044,0.044,20,78.931,6.473,72.458,204.58,17,3.839,0.643,0.9,90,5.667,1,0,23.529,2.664,6.922,0.376
Q99990,0.237,16,0.256,0.11,0.102,32,77.14,16.205,60.936,234.411,20,4.034,0.525,0.656,56,6,3,0,25,2.053,5.147,0.438
Q99996-1,0.94,121,-0.143,0.16,0.055,107,343.608,101.47,242.139,1066.289,49.521,3.925,0.462,0.664,41.188,4.5,7,1,29.688,6.918,18.417,0.489
Q99996-10,0.811,143,-0.323,0.168,0.139,60,310.353,57.009,253.344,843.336,31.106,3.939,0.469,0.783,40,4,5,-2,25.581,6.798,18.566,0.409
Q99996-11,0.546,116,-0.058,0.346,0.335,42,184.925,58.124,126.801,456.868,22.889,3.78,0.461,0.643,16.875,4.375,6,-1,35.484,4.649,10.453,0.66
Q99996-12,0.711,129,0.074,0.608,0.4,35,120.046,24.644,95.403,424.356,30.75,3.962,0.537,0.914,46,4.8,3,0,16,3.565,10.062,0.27
Q99996-13,0.559,123,0.006,0.137,0.061,102,267.254,110.263,156.992,710.13,41.042,3.923,0.488,0.471,6.917,5.083,9,1,36.667,5.9,12.94,0.511
Q99996-14,0.624,109,0.092,0.353,0.192,64,130.232,52.944,77.288,468.524,35.838,3.92,0.469,0.578,16.778,4.889,6,0,36.111,3.989,11.214,0.531
Q99996-2,0.878,143,0.184,0.647,0.646,50,242.59,39.887,202.703,792.395,15.294,3.991,0.687,0.68,19.727,4.727,7,2,30.435,9.613,23.184,0.734
Q99996-3,0.297,141,-0.054,0.27,0.093,131,406.304,152.723,253.582,1475.679,37.766,3.885,0.47,0.588,22.682,4.182,13,-2,36.25,8.317,18.097,0.475
Q99996-4,0.359,129,-0.175,0.303,0.274,60,190.408,69.645,120.763,488.84,35.561,3.711,0.446,0.683,-3.125,4.25,5,-2,34.286,4.786,11.562,0.382
Q99996-5,0.472,144,-0.003,0.447,0.108,70,209.093,60.555,148.538,702.636,41.739,3.949,0.478,0.657,4.455,4.182,6,-1,39.024,4.673,12.204,0.445
Q99996-6,0.917,142,0.042,0.596,0.211,100,313.34,81.475,231.865,997.1,29.419,3.9,0.492,0.62,13.955,3.727,12,0,33.333,8.544,21.418,0.685
Q99996-7,0.935,146,0.085,0.333,0.113,68,223.68,33.37,190.31,684.262,48.947,3.913,0.432,0.838,62.545,4.364,2,1,29.268,5.263,14.828,0.522
Q99996-8,0.974,139,0.054,0.731,0.482,66,228.175,59.107,169.068,649.069,28.087,3.969,0.526,0.697,17.6,3.733,9,0,32.609,6.602,17.851,0.604
Q99996-9,0.927,148,-0.252,0.534,0.146,130,370.262,100.961,269.301,1018.066,55.703,3.853,0.434,0.569,26.238,3.81,10,0,33.803,7.092,18.905,0.65
Q99999,0.409,36,-0.217,0.122,0.025,354,875.439,234.188,641.251,3379.556,50.847,3.994,0.478,0.554,28.967,4.311,28,6,37.433,13.079,32.761,0.724
Q9BPU6,0.529,28,0.249,0.465,0.023,58,150.892,53.728,97.164,581.791,16.273,4.219,0.587,0.379,24.688,3.938,8,1,44.737,5.018,15.233,0.964
Q9BPU9,0.335,15,0.264,0.005,0.004,46,124.745,35.38,89.364,390.34,32.706,3.865,0.482,0.739,49,4.333,3,1,17.857,3.457,9.081,0.656
Q9BPV8,0.679,23,-0.086,0.444,0.44,29,90.3,2.143,88.157,321.243,26,3.969,0.558,0.931,78,4.429,0,0,17.391,3.004,7.733,0.943
Q9BPW4,0.592,42,-0.135,0.551,0.395,72,261.04,49.309,211.731,841.84,48.036,4.164,0.492,0.778,37.286,3.357,6,-1,37.778,5.694,13.475,0.394
Q9BPW5,0.06,19,-0.089,0.012,0.003,117,399.306,124.798,274.507,1287.908,40.559,3.938,0.425,0.581,28.12,4.56,14,1,42.857,8.603,19.629,0.541
Q9BPW8,0.838,19,0.158,0.368,0.089,74,188.44,41.446,146.994,546.022,28.171,3.837,0.401,0.473,54.765,5.765,11,3,35.556,5.338,11.883,0.912
Q9BPW9,0.97,19,-0.212,0.379,0.076,204,563.622,118.502,445.12,1831.785,36.339,3.936,0.47,0.549,31.381,3.81,15,2,34.513,10.788,25.514,0.725
Q9BPX1,0.838,8,-0.332,0.293,0.059,295,726.685,249.454,477.231,2673.683,30.154,4.01,0.494,0.353,23.315,3.685,21,4,41.83,13.203,34.834,0.981
Q9BPX3,0.655,87,-0.134,0.088,0.022,119,298.408,73.789,224.619,759.93,60.105,3.932,0.442,0.639,32.941,4.471,8,3,32.759,6.016,13.839,0.625
Q9BPX5,0.337,7,0.17,0.006,0.006,70,251.28,79.797,171.483,772.539,20.214,3.735,0.427,0.4,-4.25,3.7,14,-1,46.154,6.572,13.314,0.53
Q9BPX6,0.504,41,-0.086,0.237,0.039,82,273.453,62.454,210.998,807.75,56.765,4.088,0.468,0.829,57.429,4.429,4,0,26.667,5.535,15.198,0.616
Q9BPX7,0.136,32,-0.076,0.085,0.035,118,371.892,181.82,190.073,1304.187,20.936,4.077,0.532,0.398,22,4.2,15,5,41.096,8.21,20.153,0.833
Q9BPY3,0.732,27,-0.148,0.048,0.008,101,325.83,84.304,241.526,946.221,42,3.882,0.443,0.495,14.824,4.118,13,0,35.593,6.366,18.986,0.805
Q9BPY8,0.136,6,0.226,0.052,0.022,25,53.737,24.754,28.983,204.358,12,3.895,0.485,0.52,25,4.875,4,3,33.333,2.066,4.613,0.931
Q9BPZ2,0.416,19,0.289,0.016,0.003,66,94.476,17.188,77.288,317.347,64,3.9,0.502,0.985,65.889,6,6,0,14.706,2.354,6.945,0.996
Q9BPZ3,0.824,13,0.199,0.473,0.079,46,173.569,32.277,141.292,528.406,19.417,4.001,0.563,0.522,25.222,4,5,-2,33.333,5.244,13.502,0.441
Q9BPZ7,0.764,47,0.217,0.318,0.311,95,261.96,94.753,167.207,811.139,23.692,3.929,0.459,0.411,25.211,4.105,10,5,40,7.552,20.095,0.492
Q9BQ04,0.764,17,-0.123,0.005,0.003,73,255.398,54.932,200.466,689.168,30.3,3.941,0.444,0.548,6.769,4.231,9,4,34.146,5.089,13.468,0.515
Q9BQ08,0.466,4,0.295,0.009,0.006,15,54.343,0,54.343,148.938,12,3.84,0.705,0.867,62.25,5,1,1,23.077,2.357,5.282,0.796
Q9BQ13,0.287,17,0.206,0.098,0.026,27,67.057,5.468,61.589,202.216,20,3.904,0.645,0.778,-7.286,3.571,3,0,33.333,1.804,3.861,0.961
Q9BQ15,0.383,9,0.212,0.172,0.051,26,108.828,19.463,89.364,277.574,17,3.863,0.36,0.692,38.556,4.667,7,1,33.333,3.226,6.575,0.967
Q9BQ16,0.084,46,-0.33,0.083,0.07,135,442.774,144.173,298.601,1462.072,26.625,3.89,0.482,0.356,26.769,4.577,17,-1,40,7.96,20.323,0.672
Q9BQ24,0.467,17,-0.12,0.015,0.014,74,224.152,67.161,156.992,723.597,35.209,3.958,0.499,0.581,18,4.909,7,0,35.714,5.028,13.486,0.907
Q9BQ31,0.383,39,-0.14,0.089,0.053,41,113.886,17.276,96.61,304.47,34,4.036,0.508,0.854,27.571,5.286,6,3,27.273,2.59,6.356,0.572
Q9BQ39,0.599,56,0.093,0.567,0.559,96,306.817,139.214,167.603,1107.953,22.261,4.057,0.473,0.479,27.955,5,13,0,45.161,7.702,20.52,0.738
Q9BQ48,0.478,7,0.126,0.007,0.005,25,84.837,17.21,67.627,238.993,13,4.074,0.533,0.56,49.6,4.6,1,0,25,1.921,6.295,0.222
Q9BQ49,0.966,10,-0.294,0.506,0.315,84,355.069,3.214,351.855,982.293,50.268,3.86,0.496,0.976,78.733,5.133,2,-1,11.111,6.454,15.171,0.826
Q9BQ50,0.705,15,0.122,0.023,0.006,37,114.184,13.951,100.233,304.953,23.44,3.854,0.445,0.676,32,3.667,6,0,37.5,3.605,9.545,0.981
Q9BQ51,0.332,16,0.064,0.286,0.104,23,83.504,15.244,68.261,265.686,21,3.742,0.513,0.957,23.875,4.375,3,-1,26.316,2.956,5.758,0.75
Q9BQ52,0.223,64,0.076,0.136,0.046,62,143.14,52.568,90.572,554.256,26.188,3.977,0.531,0.516,10.2,3.467,6,0,42.105,5.11,10.845,0.849
Q9BQ61,0.644,14,0.16,0.037,0.009,36,207.274,53.905,153.369,573.036,13,3.904,0.551,0.5,24.333,4.111,5,1,33.333,5.442,12.105,0.809
Q9BQ65,0.136,18,-0.17,0.048,0.006,54,181.451,71.557,109.894,634.451,27.724,4.063,0.45,0.537,17.4,4.3,7,3,40.625,4.558,13.933,0.556
Q9BQ66,0.355,16,0.146,0.325,0.005,36,147.688,26.786,120.901,490.685,22,4.138,0.584,0.639,9.5,4,2,2,32.143,3.933,9.534,0.27
Q9BQ67,0.654,27,-0.036,0.042,0.034,38,148.058,41.787,106.271,523.383,27.655,3.973,0.598,0.763,15.333,4.083,6,-2,33.333,4.902,12.872,0.975
Q9BQ69,0.613,20,0.077,0.004,0.004,67,189.597,44.306,145.291,591.803,43.6,3.995,0.461,0.672,23.8,3.467,5,-1,36.585,4.219,11.116,0.974
Q9BQ70,0.625,49,0.034,0.548,0.242,53,86.822,20.402,66.42,290.549,36,3.84,0.486,0.717,37.917,4.417,4,0,24.138,2.828,9.074,0.945
Q9BQ75,0.789,16,-0.409,0.134,0.003,94,400.171,103.094,297.077,1247.098,45.433,4.121,0.506,0.713,51,5.562,8,6,25.806,7.08,22.948,0.849
Q9BQ83,0.937,28,0.015,0.529,0.064,93,280.259,70.132,210.127,786.399,28.302,3.84,0.462,0.57,28.13,4.304,9,2,38.983,7.443,17.394,0.768
Q9BQ87,0.603,42,0.002,0.173,0.081,43,165.314,28.952,136.363,501.33,30,4.067,0.618,0.814,61.545,4.455,3,-1,25.806,4.756,12.283,0.795
Q9BQ89,0.378,17,0.057,0.078,0.013,58,216.18,50.735,165.445,673.392,19.238,4.165,0.592,0.362,10.7,4.4,6,0,40,4.889,12.296,0.828
Q9BQ90,0.243,27,0.151,0.075,0.068,36,86.55,33.414,53.136,354.444,19,3.997,0.552,0.556,42.308,4.385,6,1,29.63,3.376,8.098,0.983
Q9BQ95,0.725,38,0.097,0.421,0.407,30,126.946,18.259,108.687,345.061,18.621,3.852,0.678,0.967,56.667,5,2,-1,16.667,5.495,12.469,0.888
Q9BQA1,0.261,12,0.077,0.014,0.012,42,160.563,50.668,109.894,527.401,19.44,3.902,0.528,0.595,25.182,4.364,7,0,37.5,5.309,11.26,0.921
Q9BQA5,0.149,57,-0.663,0.01,0.008,260,779.209,332.386,446.822,2763.161,42.569,4.004,0.456,0.392,23.378,4.133,27,0,40.741,10.58,30.942,0.461
Q9BQA9,0.15,12,0.381,0.006,0.003,33,90.987,28.19,62.797,275.19,22,3.826,0.57,0.697,39.167,5.167,4,0,18.519,3.289,6.947,0.872
Q9BQB4,0.879,9,0.085,0.044,0.024,46,224.189,48.371,175.819,640.779,22.467,3.934,0.468,0.652,29,3.727,3,-1,33.333,5.473,15.413,0.461
Q9BQB6,0.985,16,0.279,0.031,0.022,151,254.363,36.673,217.69,1088.467,50.667,3.96,0.483,0.636,46.742,3.839,13,0,32.5,7.074,19.435,0.974
Q9BQC3,0.708,36,0.108,0.624,0.316,192,489.297,198.1,291.197,1813.895,24.8,3.98,0.501,0.312,10.381,4.167,17,4,42.105,10.718,27.386,0.876
Q9BQC6,0.645,6,0.18,0.45,0.004,19,76.833,15.244,61.589,341.375,13.867,4.025,0.627,0.789,64.2,5.6,2,1,27.778,3.247,8.603,0.165
Q9BQD1,0.331,5,-0.053,0.007,0.003,42,202.692,30.001,172.691,555.044,38.78,3.979,0.463,0.976,43.556,4.333,4,-2,17.241,4.284,9.242,0.722
Q9BQD3,0.483,9,0.284,0.224,0.173,20,112.178,21.606,90.572,295.749,10.333,3.895,0.638,0.6,39.5,5.167,3,2,28.571,4.389,10.047,0.908
Q9BQD7,0.355,13,-0.159,0.031,0.012,108,305.743,110.108,195.636,1090.827,22.714,4.009,0.521,0.389,34.091,4.227,6,0,33.824,8.181,19.852,0.737
Q9BQE3,0.883,38,0.166,0.034,0.03,64,180.194,65.47,114.725,655.268,28.5,3.89,0.521,0.5,12,4.357,9,-2,34.091,6.669,19.257,0.855
Q9BQE5,0.922,27,0.249,0.679,0.586,85,183.547,41.047,142.5,652.069,34.679,3.754,0.415,0.659,11.211,4.105,12,-1,36.538,6.088,14.865,0.564
Q9BQE6,0.465,13,0.163,0.153,0.02,25,69.476,15.133,54.343,234.393,18,3.838,0.602,0.76,57.5,5,3,0,23.81,2.001,6.376,0.667
Q9BQE9,0.227,8,0.222,0.124,0.029,27,129.131,43.389,85.742,358.846,12,4.039,0.52,0.481,10,3.4,3,1,45,3.247,8.992,0.503
Q9BQF6,0.059,44,-0.284,0.012,0.008,164,434.121,148.724,285.396,1408.098,55.457,3.934,0.465,0.561,25.792,4.458,16,3,33.735,7.455,17.589,0.568
Q9BQG0,0.775,118,0.173,0.45,0.423,88,206.04,44.218,161.822,747.235,34.302,3.848,0.471,0.602,17.444,4.944,11,7,28.571,7.487,16.634,0.772
Q9BQG1,0.363,35,-0.04,0.166,0.138,35,93.787,14.084,79.703,309.85,32,3.927,0.53,0.943,69.4,6.4,3,1,27.273,2.397,6.132,0.707
Q9BQG2,0.792,40,-0.137,0.203,0.059,76,311.153,38.882,272.271,1050.73,33.194,4.131,0.556,0.816,36.826,4.087,6,2,24.59,8.141,16.824,0.848
Q9BQI0,0.515,14,0.33,0.143,0.073,40,132.831,39.843,92.987,415.216,21.692,3.839,0.518,0.65,14,3.5,6,-1,37.931,4.41,12.22,0.962
Q9BQI3,0.697,46,-0.303,0.074,0.067,126,372.838,95.935,276.902,1101.502,49.654,4.127,0.483,0.643,14.444,4.444,8,1,31.944,7.152,20.705,0.644
Q9BQI4,0.788,27,0.274,0.345,0.08,65,160.003,38.032,121.97,472.133,26.485,3.663,0.424,0.508,32.867,4.333,7,4,28.571,4.868,13.224,0.593
Q9BQI5,0.093,23,-0.027,0.03,0.017,37,132.985,60.289,72.695,402.034,19.636,3.693,0.389,0.595,9.533,3.867,8,1,43.333,3.979,12.145,0.697
Q9BQI6,0.676,110,-0.237,0.49,0.402,76,283.431,99.238,184.193,861.809,26.233,3.768,0.451,0.566,30.632,4.158,10,2,45.098,6.874,18.553,0.579
Q9BQI7,0.593,35,-0.762,0.129,0.108,191,658.942,178.88,480.062,2100.103,42.935,4.089,0.523,0.56,22.371,3.714,18,-1,35.043,10.125,25.835,0.409
Q9BQI9,0.252,29,0.004,0.017,0.014,107,287.886,105.534,182.352,985.297,25.444,4.129,0.48,0.336,20.667,4.4,8,0,44.643,6.227,19.03,0.617
Q9BQJ4,0.632,10,0.072,0.173,0.165,31,119.862,26.875,92.987,290.553,24.538,3.729,0.421,0.839,20.444,5.222,5,2,28,3.41,9.101,0.25
Q9BQK8,0.371,50,-0.007,0.264,0.121,212,576.356,178.096,398.26,1840.732,35.67,3.837,0.457,0.458,6.628,3.721,24,1,40.323,11.497,28.065,0.619
Q9BQL6,0.201,61,-0.145,0.077,0.053,204,423.66,188.767,234.893,1503.224,55.327,4.008,0.482,0.48,33.371,4.571,17,1,38.835,8.136,19.819,0.854
Q9BQM9,0.289,14,0.311,0.21,0.136,22,90.845,8.727,82.119,330.298,14,3.975,0.67,0.682,27.5,5.25,2,2,31.579,3.193,7.914,0.926
Q9BQN1,0.495,25,0.303,0.165,0.035,30,107.057,22.523,84.534,311.15,19.524,3.843,0.422,0.7,28,4.4,5,0,33.333,3.453,8.675,0.693
Q9BQP7,0.664,33,0.024,0.584,0.48,74,226.768,33.547,193.22,675.563,41.793,3.903,0.517,0.784,56,5,4,3,31.915,6.019,14.041,0.658
Q9BQP9,0.487,26,0.016,0.333,0.038,50,169.13,49.575,119.555,504.148,38.182,3.725,0.435,0.88,29.1,4.9,7,1,23.684,4.635,11.019,0.582
Q9BQQ3,0.618,19,-0.037,0.433,0.033,33,122.371,10.715,111.656,332.202,29,3.834,0.485,0.909,44,4.25,4,-1,21.739,3.529,8.275,0.744
Q9BQQ7,0.801,15,0.206,0.022,0.012,65,175.358,55.981,119.377,517.905,24.312,3.855,0.468,0.492,7.786,4.5,8,-2,42.5,5.48,14.071,0.844
Q9BQR3,0.519,17,0.241,0.135,0.051,59,130.791,54.711,76.081,381.989,23.037,3.89,0.58,0.458,-0.867,3.333,8,1,41.463,3.83,9.595,0.894
